CVE-ID,Model,Build,Run,Error Annotation,Rationale,ErrorLevel,WES,WES_Category
CVE-2019-11600,Gpt5.2-Thinking,1,1,"No functional errors observed: the compose stack starts and services come up (runtime logs present, DB ready).","Although it introduces a multi-service setup (divergent from the human single-image workflow), it is operational and does not exhibit a divergence-induced failure for build/run.",0.0,0.0,Perfect
CVE-2019-11600,Gpt5.2-Thinking-Web,1,1,"No functional errors observed: the compose stack starts and services come up (runtime logs present, DB ready).","Although it introduces a multi-service setup (divergent from the human single-image workflow), it is operational and does not exhibit a divergence-induced failure for build/run.",0.0,0.0,Perfect
CVE-2019-13068,Bing,0,0,"The build fails because the Dockerfile attempts to copy grafana.ini from the build context, but the file is not present.","This introduces a structural divergence from the human Dockerfile, which does not rely on external configuration files. Fixing the issue requires removing or rethinking the configuration approach rather than a purely local patch.",2.0,8.0,Build failure
CVE-2019-13068,Gemini,0,0,The build fails due to a missing grafana.ini file referenced in a COPY instruction that is not part of the build context.,"As with Bing, the Dockerfile diverges from the human reference by assuming the presence of external configuration artifacts. This represents a non-local divergence in configuration strategy.",2.0,8.0,Build failure
CVE-2019-13068,Gemini3-Pro,1,0,The image builds successfully but does not start the Grafana server because no CMD or ENTRYPOINT is specified.,"The Dockerfile remains close to the human reference in base image selection but omits a required execution instruction. The fix is local, but the container is non-functional as generated.",1.0,4.0,Runtime failure
CVE-2019-13068,Gpt3.5,1,1,No functional error. The Dockerfile matches the human reference by reusing the official Grafana image and starting the server correctly.,"The structure, base image, and execution strategy are identical to the human Dockerfile. No divergence is observed.",0.0,0.0,Perfect
CVE-2019-13068,Gpt5.2-Thinking,0,0,The build fails during apt-get update due to Debian stretch repositories returning HTTP 404 (end-of-life distribution).,"Unlike the human reference, this Dockerfile diverges by abandoning the official Grafana image and attempting to reconstruct the environment from a deprecated Debian base.",2.0,8.0,Build failure
CVE-2019-13068,Gpt5.2-Thinking-Web,0,0,The build fails while downloading Grafana due to a SHA256 checksum mismatch on the fetched archive.,"The Dockerfile significantly diverges from the human reference by re-implementing Grafana installation from source and external binaries. Commands seems to be correct for building, but in this case it was better to opt for an original image",2.0,8.0,Build failure
CVE-2019-14749,Bing,0,0,The build fails during the osTicket installation step with a non-zero exit code after unpacking the release archive.,"The Dockerfile uses the same base image and the same canonical osTicket release URL as the human reference. The overall installation pipeline is equivalent, and the error does not introduce additional divergence beyond a local build failure.",1.0,7.0,Build failure
CVE-2019-14749,Gemini,0,0,The build fails while using a source-archive installation (.tar.gz) of osTicket instead of the release zip used in the human Dockerfile.,"Although the referenced source archive is valid, the Dockerfile diverges from the human reference in the packaging and installation strategy (tarball vs release zip). Fixing the error requires adapting multiple steps rather than applying a single local patch.",2.0,8.0,Build failure
CVE-2019-14749,Gemini3-Pro,0,0,The build fails during the osTicket download step that relies on a parameterized GitHub release URL and subsequent PHP extension compilation errors.,"The Dockerfile diverges from the human reference both in how the release artifact is retrieved and in the PHP extension build pipeline. However, it requires few steps to fix it",1.0,7.0,Build failure
CVE-2019-14749,Gpt3.5,0,0,The build fails during the osTicket extraction and setup step due to a non-zero exit code after the download and unzip phase.,"The Dockerfile closely follows the human reference: same base image, same canonical osTicket release URL, and same zip-based installation strategy. The failure occurs in a local build step without introducing further structural divergence.",1.0,7.0,Build failure
CVE-2019-14749,Gpt5.2-Thinking,0,0,The build fails while compiling PHP extensions (intl / mbstring) during image construction.,The Dockerfile departs from the human reference by rebuilding and reconfiguring PHP extensions instead of relying on the base image defaults. ,1.0,7.0,Build failure
CVE-2019-14749,Gpt5.2-Thinking-Web,0,0,"The build fails during PHP extension configuration due to unsupported options passed to docker-php-ext-configure (e.g., GD flags).",The Dockerfile significantly diverges from the human reference by cloning the osTicket repository and manually compiling multiple PHP extensions.,1.0,7.0,Build failure
CVE-2019-17240,Bing,0,0,"Build fails immediately because rm index.html errors out (No such file or directory), stopping the pipeline at step 3.",The overall structure is close to human (php-apache flow). The failure is a single local command robustness issue (rm should be rm -f or omitted). URL differs from human but was not exercised due to early failure; automated fetch check is inconclusive (tool reports a 400-style fetch failure rather than 404).,1.0,7.0,Build failure
CVE-2019-17240,Gemini,0,0,"Build fails because apt-get install requests non-available PHP packages (php7.4-fpm, php7.4-mysql, php7.4-mbstring) on the selected base image. Also, the Bludit artifact URL differs from human and returns HTTP 404.","Severe divergence from the human reference: different stack (nginx + php-fpm), incompatible dependency assumptions, and an invalid external artifact source (404). Fix is not a single local adjustment that preserves alignment.",3.0,9.0,Build failure
CVE-2019-17240,Gemini3-Pro,1,1,Build completes successfully and Apache starts (only non-fatal ServerName warning).,Matches the human reference pipeline closely and uses the same canonical GitHub archive URL as human; no divergence-induced failure is observed.,0.0,0.0,Perfect
CVE-2019-17240,Gpt3.5,1,1,Build completes successfully and Apache starts (only non-fatal ServerName warning).,Structurally aligned with the human reference and uses the same Bludit archive URL as human; no divergence-induced failure is observed.,0.0,0.0,Perfect
CVE-2019-17240,Gpt5.2-Thinking,0,0,Build fails because COPY bludit-3.9.2.zip references a file missing from the build context (file does not exist).,"Diverges from human by assuming a local artifact instead of downloading the canonical archive. Fix requires changing the acquisition strategy (or providing extra context), not just a trivial one-liner within the same pipeline.",2.0,8.0,Build failure
CVE-2019-17240,Gpt5.2-Thinking-Web,0,0,"Build fails because it runs chmod on /var/www/html/bl-content, but the directory is missing after extraction/move (No such file or directory).","The failure indicates artifact/layout mismatch relative to the human pipeline. The Dockerfile is “close” in intent but diverges in the retrieval/extraction path (different archive source), causing post-extraction structure to differ. Likely fix is to switch to the canonical human URL or adjust extraction/move logic.",2.0,8.0,Build failure
CVE-2021-41773,Bing,0,0,Build fails because a missing httpd.conf file makes the compilation impossible,Easy fix,1.0,7.0,Build failure
CVE-2021-41773,Gemini,0,0,Build fails because it is trying to install libapache2-mod-php php7.4-fpm. Addiotinally it copies from unexistent folder th default.conf,Two errors make more complicated the configuration,2.0,8.0,Build failure
CVE-2021-41773,Gemini3-Pro,1,1,,,,,Build failure
CVE-2021-41773,Gpt3.5,0,0,Build fails because a missing httpd.conf file makes the compilation impossible,Easy fix,1.0,7.0,Build failure
CVE-2021-41773,Gpt5.2-Thinking,0,0,"Try to install a compilable version offline, 404 not found","Moderate fix, depending on the number of changes for dependencies",2.0,8.0,Build failure
CVE-2021-41773,Gpt5.2-Thinking-Web,1,1,,,0.0,0.0,Perfect
CVE-2021-44790,Bing,1,1,,,0.0,0.0,Perfect
CVE-2021-44790,Gemini,0,0,Gemini fails for file not found httpd.conf,By adding a configuration file easy fix,1.0,7.0,Build failure
CVE-2021-44790,Gemini3-Pro,1,1,Correctly built,,0.0,0.0,Perfect
CVE-2021-44790,Gpt3.5,1,1,,,,,Build failure
CVE-2021-44790,Gpt5.2-Thinking,0,0,"Error APR not found, the compilation makes complicated to generate Dockerfile",simple configuration changes to fix it,1.0,7.0,Build failure
CVE-2021-44790,Gpt5.2-Thinking-Web,0,0,"Error APR not found, the compilation makes complicated to generate Dockerfile",simple configuration changes to fix it,1.0,7.0,Build failure
CVE-2023-0297,Bing,0,0,Lookup a requirements.txt that does not exist,Complex to fix this vulnerability,2.0,8.0,Build failure
CVE-2023-0297,Gemini,0,0,Cannot find pyload==0.5.0 does not exist,"Not found the proper link, no proper configuration",2.0,8.0,Build failure
CVE-2023-0297,Gemini3-Pro,1,0,"Ok the version (find on the web), configuration errors due to JSON encoder attributes","It is very complex to run, but it has built",2.0,5.0,Runtime failure
CVE-2023-0297,Gpt3.5,0,0,404 not foudn codeload pyload,"Not found the proper link, no proper configuration",2.0,8.0,Build failure
CVE-2023-0297,Gpt5.2-Thinking,0,0,The repository 'http://deb.debian.org/debian buster Release' does not have a Release file.,Common error outdated and packages not found in URLs,2.0,8.0,Build failure
CVE-2023-0297,Gpt5.2-Thinking-Web,0,0,The repository 'http://deb.debian.org/debian buster Release' does not have a Release file.,Common error outdated and packages not found in URLs,2.0,8.0,Build failure
CVE-2023-37474,Bing,0,0,Lack requirements,,2.0,8.0,Build failure
CVE-2023-37474,Gemini,1,0,,"gunicorn"": executable file not found in $PATH: unknown",2.0,5.0,Runtime failure
CVE-2023-37474,Gemini3-Pro,1,1,,,0.0,0.0,Perfect
CVE-2023-37474,Gpt3.5,0,0,Fails to update apt lists,Complex to fix several deps,2.0,8.0,Build failure
CVE-2023-37474,Gpt5.2-Thinking,1,1,,,,,Build failure
CVE-2023-37474,Gpt5.2-Thinking-Web,1,1,,,,,Build failure
